en_claim,en_explanation,en_top_sentences,de_claim,de_explanation,de_top_sentences,label,de_verdict,de_title,authors,date,url
Can masks reduce corona infections when worn by a large proportion of the population?,"International studies suggest that the number of corona infections decreases when many people wear masks - whether fabric, surgical or FFP2 masks. However, it is not possible to precisely quantify how great the protective effect actually is. It probably depends on the type of masks and the proportion of people who wear them.","Studies show slow spread After three years of pandemic, there are now relatively meaningful data that masks can slow down the spread of the Corona virus. Surgical masks, in turn, seem to reduce the risk of infecting themselves with the corona virus.","Können Masken die Anzahl an Corona-Infektionen verringern, wenn sie von einem großen Teil der Bevölkerung getragen werden?","Internationale Studien legen nahe, dass die Zahl an Corona-Infektionen sinkt, wenn viele Menschen Masken tragen – egal ob Stoff-, OP- oder FFP2-Masken. Wie groß der Schutzeffekt tatsächlich ist, lässt sich aber nicht genau beziffern. Er hängt vermutlich von der Art der Masken und dem Anteil der Menschen ab, die sie tragen.","Studien zeigen gebremste Ausbreitung  Nach drei Jahren Pandemie gibt es mittlerweile relativ aussagekräftige Daten dazu, dass Masken die Ausbreitung des Corona-Virus bremsen können. OP-Masken wiederum scheinen das Risiko so gut wie nicht zu senken, sich selbst mit dem Coronavirus anzustecken.",0,wahrscheinlich,Masken gegen Corona: Wirkt der Mund-Nasen-Schutz? | Medizin Transparent,"Bernd Kerschner,Jana Meixner",5. Dezember 2022,https://www.medizin-transparent.at/masken-corona/
Can homeopathic preparations with Anamirta cocculus help against dizziness?,"We have found only one study that has investigated this. However, it is so poor that no reliable statement is possible.","But without success: We could not find any meaningful scientific evidence for effectiveness in dizziness. It is now well proven by studies that homeopathic preparations usually do not work better than a sham medication (placebo) [8]. However, it is not well established that betahistine is effective against dizziness [11.13]. The fact that betahist helps with dizziness is not well documented [11, 13].",Können homöopathische Präparate mit Anamirta cocculus gegen Schwindel helfen?,"Wir haben nur eine einzige Studie gefunden, die das untersucht hat. Die ist allerdings so mangelhaft, dass keine verlässliche Aussage möglich ist.","Doch ohne Erfolg: Aussagekräftige wissenschaftliche Belege für eine Wirksamkeit bei Schwindel konnten wir keine finden. Es ist inzwischen gut durch Studien belegt, dass homöopathische Präparate in der Regel nicht besser wirken als ein Scheinmedikament (Placebo) [8] . Allerdings ist nicht gut belegt, dass Betahistin wirksam gegen Schwindel ist [11,13] . Dass Betahistin bei Schwindel hilft, ist nicht gut belegt [11, 13] .",1,wissenschafliche Beweise fehlen,Cocculus gegen Schwindel: kein Wirknachweis für Homöopathie | Medizin Transparent,"Iris Mair,Jana Meixner",17. November 2022,https://www.medizin-transparent.at/schwindel-homoeopathie-cocculus/
Can zeolite alleviate or prevent health problems?,Studies to date cannot provide any evidence that taking zeolite prevents or alleviates complaints. A detoxifying effect is not scientifically plausible.,"However, none of these can provide any evidence – because the studies have no significance (for reasons see section Studies in detail ). It does not find an advantage for zeolite – but the results are hardly meaningful. However, it is not researched whether the regular intake of zeolite can lead to a nutrient deficiency or has an undesirable effect on digestion.",Kann Zeolith Gesundheitsprobleme lindern oder diesen vorbeugen?,"Bisherige Studien können keine Hinweise darauf geben, dass die Einnahme von Zeolith Beschwerden vorbeugt oder sie lindert. Eine entgiftende Wirkung ist wissenschaftlich nicht plausibel.","Hinweise darauf kann jedoch keine davon liefern – denn die Studien besitzen keinerlei Aussagekraft (zur Begründung siehe Abschnitt Studien im Detail ). Einen Vorteil für Zeolith findet sie nicht – die Ergebnisse sind aber kaum aussagekräftig. Ob die regelmäßige Einnahme von Zeolith dadurch zu einem Nährstoffmangel führen kann oder eine unerwünschte Auswirkung auf die Verdauung hat, ist allerdings nicht erforscht.",1,wissenschafliche Beweise fehlen,Zeolith: Wirkung zur Entgiftung fragwürdig | Medizin Transparent,"Bernd Kerschner,Jana Meixner",27. September 2022,https://www.medizin-transparent.at/zeolith-wirkung/
Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,"In a large, well-done study, paxlovid prevented hospitalizations and deaths in high-risk patients. They were unvaccinated and had contracted the delta variant. For vaccinated people, the benefit cannot be reliably estimated. This also applies to people with immunodeficiency.","Patients at risk without corona vaccination appear to be well protected from serious to fatal events by Paxlovid. However, it is not certain how well Paxlovid helps people who have already received corona vaccination. In addition, the scientists investigated whether Paxlovid alleviated the Covid-19 symptoms, shortened the duration of the disease and reduced the need for medical treatment: Half of the participants improved the symptoms with Paxlovid after 13 days, with placebo after 15 days. With Paxlovid, 14 out of 1000 participants needed medical treatment for Covid-19 within a month, with placebo 76 out of 1000. Whether with or without antibodies in the blood, Paxlovid basically protected all humans from a severe course.",Schützt Paxlovid ungeimpfte Menschen mit Risikofaktoren vor einer schweren oder sogar tödlichen Covid-19-Erkrankung?,"In einer großen, gut gemachten Studie verhinderte Paxlovid Krankenhausaufenthalte und Todesfälle von Risikopatientinnen und -patienten. Sie waren ungeimpft und hatten sich mit der Delta-Variante angesteckt. Für Geimpfte lässt sich der Nutzen nicht verlässlich abschätzen. Das gilt auch für Menschen mit Immunschwäche.","Risikopatientinnen und -patienten ohne Coronaimpfung sind durch Paxlovid offenbar gut vor schweren bis tödlichen Verläufen geschützt. Allerdings lässt sich nicht sicher sagen, wie gut Paxlovid bei Menschen hilft, die bereits eine Coronaimpfung erhalten haben. Außerdem erfassten die Wissenschaftlerinnen und Wissenschaftler, ob Paxlovid die Covid-19-Symptome linderte, die Krankheitsdauer verkürzte und den Bedarf für medizinische Behandlungen senkte:   Bei der Hälfte der Teilnehmenden verbesserten sich die Symptome mit Paxlovid nach 13 Tagen, mit Placebo nach 15 Tagen. Mit Paxlovid benötigten innerhalb eines Monats 14 von 1000 Teilnehmenden eine medizinische Behandlung wegen Covid-19, mit Placebo 76 von 1000. Ob mit oder ohne Antikörper im Blut – grundsätzlich schützte Paxlovid alle Menschen vor einem schweren Verlauf.",0,ja,Paxlovid: Schutz vor schwerer Covid-Erkrankung | Medizin Transparent,"Iris Hinneburg,Julia Harlfinger,Jana Meixner",19. September 2022,https://www.medizin-transparent.at/corona-paxlovid/
"Does starting school later improve health, learning success, and quality of life in adolescents?","The question has been investigated in several large studies. Due to methodological deficiencies and contradictory results, no firm conclusions can be drawn. This means that science can currently neither speak for nor against a benefit of a later school start.","However, teenagers and parents now have to be very strong: despite 27 studies involving hundreds of thousands of students, no clear results can be derived from research. The problem: The studies usually come to contradictory results. So until better research results are available, all troubled young people and parents will only have the option of remaining out of bed early – or to hope that, despite lack of evidence, the school management will still have an insight into it. It is difficult to examine whether a later start to school will have a positive effect. The Problems: Unknown Influencing Factors: If differences occur in previous-after-studies, these do not have to be due to the later start of school – they may also have been caused by other changes over the course of the study period.","Verbessert ein späterer Schulbeginn Gesundheit, Lernerfolg und Lebensqualität bei Jugendlichen?","Die Fragestellung ist in mehreren großen Studien untersucht worden. Wegen methodischer Mängel und widersprüchlicher Ergebnisse lassen sich daraus keine sicheren Schlussfolgerungen ziehen. Das heißt, die Wissenschaft kann sich aktuell weder für noch gegen einen Nutzen eines späteren Schulstarts aussprechen.","Allerdings müssen Teenager und Eltern jetzt ganz stark sein: Denn trotz 27 Studien an hunderttausenden Schülerinnen und Schülern lassen sich aus der Forschung keine eindeutigen Ergebnisse ableiten. Das Problem: Die Studien kommen meist zu widersprüchlichen Ergebnissen. Bis bessere Forschungsergebnisse vorliegen, bleibt allen geplagten Jugendlichen und Eltern also nur die Option, sich weiterhin früh aus dem Bett zu quälen – oder zu hoffen, dass die Schulleitung trotz fehlender Belege dennoch Einsehen hat. Ob sich ein späterer Schulbeginn positiv auswirkt, ist schwierig zu untersuchen. Die Probleme:   Unbekannte Einflussfaktoren: Treten in Vorher-Nachher-Studien Unterschiede auf, müssen diese nicht durch den späteren Schulbeginn bedingt sein – sie können auch durch andere Veränderungen im Lauf des Untersuchungszeitraums verursacht worden sein.",1,wissenschafliche Beweise fehlen,Das große Gähnen: späterer Schulbeginn besser? | Medizin Transparent,"Iris Hinneburg,Julia Harlfinger,Claudia Christof,Bernd Kerschner",7. September 2022,https://www.medizin-transparent.at/spaeterer-schulbeginn/
Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,"It is neither examined nor proven whether the special fasting method after F.X. Mayr holds, which it promises: Namely assistance with all possible illnesses of allergies, over rheumatism up to sleep disturbances. The advertised detoxification and ""purification"" of the body by the chamfering cure are besides scientifically not plausible.","Thus, the claim that the method can help with various diseases is not scientifically justified. These studies cannot answer whether these changes also affect health. Mayr cure or other fasting methods improve health in the long term, however, cannot be concluded.",Hat die F.X.-Mayr-Kur gesundheitliche Vorteile? Kann sie Erkrankungen vorbeugen oder diese behandeln?,"Es ist weder untersucht noch belegt, ob die spezielle Fasten-Methode nach F.X. Mayr hält, was sie verspricht: Nämlich Hilfe bei allen möglichen Erkrankungen von Allergien, über Rheuma bis Schlafstörungen. Die beworbene Entgiftung und „Entschlackung“ des Körpers durch die Fasten-Kur sind zudem wissenschaftlich nicht plausibel.","Die Behauptung, die Methode könne bei verschiedenen Erkrankungen helfen, ist also wissenschaftlich nicht gerechtfertigt. Ob diese Veränderungen außerdem die Gesundheit beeinflussen, können diese Studien nicht beantworten. Ob die F.X.-Mayr-Kur oder anderen Fasten-Methoden auch langfristig die Gesundheit verbessern, lässt sich daraus aber nicht schließen.",1,wissenschafliche Beweise fehlen,F.X. Mayr-Kur: Wirksamkeit unbelegt | Medizin Transparent,"Jana Meixner,Bernd Kerschner",22. September 2022,https://www.medizin-transparent.at/fx-mayr/
Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,"We could not find any meaningful studies at all on the influence of soy foods on acne. On soy isoflavones, we found two small studies of questionable quality that examined a very specific group of sufferers. Soy isoflavones improved the skin appearance somewhat. However, this result is not reliable.","In both cases, certain soya ingredients are responsible for the effect on the skin: the isoflavones. There are two competing theories that contradict each other: according to the first theory, isoflavones confuse the hormone balance and are supposed to promote acne in this way. Surprisingly, despite searching in two large databases, we could not find a study on soy products and acne – whether soy milk, soy sauce or tofu. The isoflavones improved the skin appearance more than an anti-acne cream with vitamin A acid (Tretinoin). Conclusion: There is currently no evidence from reliable studies that soy makes acne worse.",Beeinflusst der Verzehr von Soja-Lebensmittel oder Soja-Isoflavonen das Hautbild bei Akne?,"Zum Einfluss von Soja-Lebensmitteln auf Akne konnten wir gar keine aussagekräftigen Studien finden. Zu Soja-Isoflavonen haben wir zwei kleine Studien von fraglicher Qualität gefunden, die eine sehr spezielle Gruppe von Betroffenen untersucht haben. Soja-Isoflavone verbesserten dabei das Hautbild etwas. Verlässlich ist dieses Ergebnis aber nicht.","Für die Wirkung auf die Haut werden in beiden Fällen bestimmte Soja-Inhaltsstoffe verantwortlich gemacht: die Isoflavone. Dazu gibt es zwei konkurrierende Theorien, die sich widersprechen:  Nach der ersten Theorie bringen Isoflavone den Hormonhaushalt durcheinander und sollen auf diesem Weg Akne fördern. Erstaunlicherweise konnten wir trotz Suche in zwei großen Datenbanken keine Studie zu Soja-Produkten und Akne finden – egal ob Sojamilch, Sojasauce oder Tofu. Durch die Isoflavone verbesserte sich das Hautbild mehr als durch eine Anti-Akne-Creme mit Vitamin-A-Säure (Tretinoin). Fazit: Darauf, dass Soja Akne verschlimmert, gibt es derzeit keine Hinweise aus verlässlichen Studien.",1,wissenschafliche Beweise fehlen,Soja bei Akne: Hilft es oder schadet es? | Medizin Transparent,"Iris Hinneburg,Jana Meixner,Bernd Kerschner",27. Oktober 2022,https://www.medizin-transparent.at/soja-akne/
Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,"The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin.",Efficacy does not appear to have been studied or demonstrated. The studies in detail We could not find any studies on Damiana extract against erectile dysfunction in men. Studies on the product Neradin also appear to be missing.,Hilft Extrakt aus der Damiana-Pflanze (Turnera diffusa) bei Erektionsstörungen?,Der Extrakt aus der Damiana-Pflanze (Turnera diffusa) wird als Mittel gegen Erektionsstörungen für den Mann beworben. Belegt ist diese behauptete Wirkung auf die Potenz jedoch keineswegs. Denn an Menschen wurde sie offenbar nie untersucht. Das gilt auch für homöopathische Mittel wie das Produkt Neradin.,Eine Wirksamkeit wurde offenbar weder untersucht noch belegt. Die Studien im Detail   Wir konnten keine Studien zu Damiana-Extrakt gegen Erektionsstörungen bei Männern finden. Auch Studien zum Produkt Neradin fehlen offenbar.,1,wissenschafliche Beweise fehlen,Damiana und Neradin: Hilfe bei Erektionsstörungen fraglich | Medizin Transparent,"Jana Meixner,Bernd Kerschner",25. August 2022,https://www.medizin-transparent.at/damiana-neradin/
Is the homeopathic remedy Neradin effective for erectile dysfunction?,"The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin.",No studies on Neradin Also our search for studies on the product Neradin remained resultless. Studies on the product Neradin also appear to be missing.,Ist das homöopathische Mittel Neradin wirksam bei Erektionsstörungen??,Der Extrakt aus der Damiana-Pflanze (Turnera diffusa) wird als Mittel gegen Erektionsstörungen für den Mann beworben. Belegt ist diese behauptete Wirkung auf die Potenz jedoch keineswegs. Denn an Menschen wurde sie offenbar nie untersucht. Das gilt auch für homöopathische Mittel wie das Produkt Neradin.,Keine Studien zu Neradin  Auch unsere Suche nach Studien zum Produkt Neradin blieb ergebnislos. Auch Studien zum Produkt Neradin fehlen offenbar.,1,wissenschafliche Beweise fehlen,Damiana und Neradin: Hilfe bei Erektionsstörungen fraglich | Medizin Transparent,"Jana Meixner,Bernd Kerschner",25. August 2022,https://www.medizin-transparent.at/damiana-neradin/
Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,"Regular examination of the cervix by means of PAP smear tests detects precancerous stages of the cervix in most cases in good time. This reduces the risk of developing cervical cancer. An additional HPV test every three to five years can make screening even more reliable. However, the difference should not be too great.","According to the studies, the HPV test is likely to detect slightly more precursors of cervical cancer over several years than the PAP swab alone. We are therefore relatively sure that with an additional HPV test at least a little more precursors of uterine cancer are detected than only with the PAP swab alone.",Entdeckt ein regelmäßiger HPV-Test zusätzlich zum empfohlenen PAP-Abstrich mehr Krebsvorstufen als nur der PAP-Abstrich alleine?,"Durch die regelmäßige Untersuchung des Gebärmutterhalses mittels PAP-Abstrich werden Vorstufen von Gebärmutterhalskrebs in den meisten Fällen rechtzeitig entdeckt. Das senkt das Risiko, an Gebärmutterhalskrebs zu erkranken. Ein zusätzlicher HPV-Test alle drei bis fünf Jahre kann die Vorsorgeuntersuchung noch verlässlicher machen. Der Unterschied dürfte allerdings nicht allzu groß sein.","Den Studien zufolge entdeckt der HPV-Test über mehrere Jahre hinweg wahrscheinlich geringfügig mehr Vorstufen von Gebärmutterhalskrebs als der PAP-Abstrich alleine. Wir sind uns daher relativ sicher, dass mit einem zusätzlichen HPV-Test zumindest ein bisschen mehr Vorstufen von Gebärmutterkrebs entdeckt werden als nur mit dem PAP-Abstrich alleine.",0,wahrscheinlich ein bisschen,Krebsvorsorge: Was der HPV-Test kann | Medizin Transparent,"Jana Meixner,Iris Mair,Bernd Kerschner",4. Oktober 2022,https://www.medizin-transparent.at/hpv-test-gebaermutterhalskrebs/
